year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
28,167.96213379316032,248.55974291352322,226.4763648872713,2.3404515522077203E-06,19.834457706660032,5.4214017016256732E-07,-0.34262055158615112,0.9618685245513916,1.0657463073730469,0.672832190990448,1.0447710752487183,-3.798835277557373,0,0,0,0,0,-6.0193548202514648,0.76954823732376099,75.72021484375,52.176811218261719,34.413822174072266,50.012859344482422,38.237632751464844,0.96874576807022095,0.90023136138916016,17.965480804443359,0,1.5233831405639648,0.055717602372169495,0
29,148.53124077059329,135.05468792598913,154.48620394659247,2.3804381251176823E-06,19.834459016099572,6.0815862497363346E-07,2.5474934577941895,0.9488869309425354,1.2191841602325439,0.92082333564758301,0.90229111909866333,-4.0871744155883789,1,0,0,0,0,-9.4439077377319336,0.81122440099716187,74.04754638671875,50.335891723632812,19.191555023193359,55.025547027587891,33.931541442871094,1.0735594034194946,0.99045979976654053,17.770439147949219,0,1.5233831405639648,0.038342833518981934,0
30,123.54929199256003,73.116813883677423,98.099851282822783,2.4984713532780039E-06,19.834459539502859,6.345472249763497E-07,-0.2731049656867981,0.4586605429649353,1.1976521015167236,0.69290667772293091,1.0042164325714111,0.64409375190734863,0,0,1,0,0,-9.4635019302368164,0.52402973175048828,65.334808349609375,44.310417175292969,8.9089317321777344,53.607997894287109,37.282417297363281,0.96752786636352539,0.96494394540786743,17.901987075805664,0,1.5233831405639648,0.028247134760022163,0
31,148.86862139776349,250.29930703217633,224.98050457870704,2.4861676448009848E-06,19.834461415186524,7.2911420078679587E-07,0.2934080958366394,1.0163414478302002,0.97291874885559082,0.93768602609634399,0.85416793823242188,-0.70394134521484375,0,0,0,0,0,-9.841160774230957,0.18803209066390991,70.211502075195312,47.675674438476562,26.361078262329102,50.719390869140625,36.214881896972656,0.94041359424591064,0.9129490852355957,17.981098175048828,0,1.5233831405639648,0.033274326473474503,0
32,155.05235809832811,255.85142934111809,249.66777694134726,2.4193211969947645E-06,19.834462122991681,7.6479985203602078E-07,-0.47617471218109131,1.0194871425628662,1.0440391302108765,1.0460505485534668,1.0360305309295654,-7.8685493469238281,0,0,0,0,0,-10.764595031738281,0.27074173092842102,71.942550659179688,51.501846313476562,27.090415954589844,49.498844146728516,36.599998474121094,0.87853556871414185,0.89097923040390015,18.064947128295898,0,1.5233831405639648,0.018224699422717094,0
33,142.13304374180734,197.98410226340457,210.90355176264165,2.3786418505182973E-06,19.834460593760014,6.8770006341598478E-07,0.031619906425476074,0.86771225929260254,1.0358171463012695,0.91067081689834595,0.88535457849502563,-0.32700109481811523,0,0,0,0,0,-10.054903984069824,0.28670740127563477,70.839981079101562,50.502540588378906,16.14251708984375,46.589260101318359,33.825054168701172,0.92266684770584106,0.83860659599304199,18.073186874389648,0,1.5233831405639648,0.025493457913398743,0
34,154.65241666696966,233.92195475147855,221.40294149997862,2.3559925201969588E-06,19.834457159042358,5.1453074524869326E-07,-0.080616235733032227,0.93953418731689453,0.92529350519180298,0.979389488697052,0.94734996557235718,-4.8092608451843262,0,0,0,0,0,-11.696647644042969,0.22875356674194336,70.124160766601562,48.669700622558594,31.517436981201172,45.313278198242188,35.512180328369141,0.91598862409591675,0.8156389594078064,18.102828979492188,0,1.5233831405639648,0.010585726238787174,0
35,158.60020948387682,260.86771185002544,256.91982683139031,2.2769965586573069E-06,19.834462363272905,7.7691419153904716E-07,-1.1708412170410156,0.86977225542068481,0.90311634540557861,0.87446033954620361,1.1258111000061035,3.7608480453491211,0,0,0,0,0,-12.823312759399414,0.30103364586830139,72.043495178222656,52.927268981933594,29.36787223815918,42.81475830078125,34.356529235839844,0.87550902366638184,0.77066564559936523,18.188287734985352,0,1.5233831405639648,0.013529560528695583,0
36,176.65197864919901,341.76078003230396,323.70857590226296,2.1463970269655484E-06,19.834467614069581,1.0416453780431658E-06,-1.9520347118377686,1.0417932271957397,0.92769467830657959,0.78443664312362671,0.93831664323806763,-2.7616744041442871,0,0,0,0,0,-9.0160770416259766,0.84342628717422485,75.110992431640625,55.527244567871094,40.551315307617188,40.16265869140625,34.694065093994141,0.83803391456604004,0.72292786836624146,18.273506164550781,0,1.5233830213546753,0.022214360535144806,0
37,169.07569318264723,304.80003706312527,312.37632018322256,2.0779610454220967E-06,19.83446853235364,1.0879428150586077E-06,2.1172692775726318,1.1420907974243164,0.92500686645507812,0.90356928110122681,1.1484720706939697,-0.25618696212768555,0,0,0,0,0,-11.293895721435547,0.71315014362335205,76.0113525390625,55.633464813232422,32.518840789794922,45.802360534667969,29.163843154907227,1.0323618650436401,0.82444250583648682,17.977664947509766,0,1.5233829021453857,0.036199953407049179,0
