year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
11,89.388036429360511,52.485137986664014,43.365083356014217,4.3244171524268919E-06,19.83867505667731,-3.6906933734478683E-06,-0.10266381502151489,1.5221859216690063,0.97157317399978638,1.1915740966796875,1.2897961139678955,0.63760042190551758,0,0,0,1,0,-7.7589263916015625,0.018417524173855782,51.960697174072266,29.744562149047852,3.1246044635772705,24.691484451293945,20.368324279785156,0.81127256155014038,0.44444668292999268,18.582956314086914,0.00033391566830687225,1.5244256258010864,0.34828516840934753,0
12,87.510216138027602,17.978053150951528,19.856006949863477,4.5053371758136816E-06,19.838673839196563,-3.7520622023674149E-06,1.2918494939804077,0.97341936826705933,0.93442785739898682,1.087633490562439,1.0622619390487671,0.57387399673461914,0,0,0,0,0,-8.6279315948486328,0.019930044189095497,51.796123504638672,29.69679069519043,1.4998035430908203,27.853668212890625,19.572744369506836,0.90443980693817139,0.5013660192489624,18.432868957519531,0.00033590124803595245,1.5244256258010864,1.1489509344100952,0
13,87.889892458803956,24.760525456621107,24.380986938794667,4.5841661634229713E-06,19.83866949936375,-3.970817577066431E-06,0.38415417075157166,1.0172392129898071,1.3274095058441162,1.2876853942871094,0.93925988674163818,-3.8962314128875732,0,0,0,0,0,-8.637202262878418,0.019023802131414413,51.351676940917969,29.784826278686523,2.2795801162719727,28.209712982177734,23.236162185668945,0.91455590724945068,0.50777482986450195,18.416337966918945,0.00034142471849918365,1.5244256258010864,0.52811962366104126,0
14,88.904696342423563,24.098000020760956,23.083363587133789,4.7437414988143133E-06,19.838666774723677,-4.1081568906948355E-06,0.97519940137863159,1.1559661626815796,1.0029282569885254,0.99482548236846924,1.0350583791732788,-3.6106224060058594,0,0,0,0,0,-9.5725517272949219,0.023105766624212265,52.3768310546875,29.759403228759766,2.4130396842956543,28.3582763671875,23.640892028808594,0.92089366912841797,0.51044893264770508,18.407323837280273,0.00034179753856733441,1.5244255065917969,0.60092443227767944,0
15,84.546828276943415,11.257824162238249,15.615888083659193,5.1304862326646425E-06,19.838666175119577,-4.1383807783950498E-06,0.55166441202163696,0.60855191946029663,1.0603740215301514,0.90695929527282715,0.97653692960739136,-6.3081607818603516,0,0,1,0,0,-7.7217106819152832,0.0092655709013342857,49.545867919921875,29.33955192565918,1.178719162940979,27.644514083862305,23.618207931518555,0.93078744411468506,0.4976012110710144,18.4102783203125,0.00034210251760669053,1.5244255065917969,0.38409176468849182,0
16,84.745925568640232,20.72399685228309,20.525133138212222,5.457566063911744E-06,19.838669602945448,-3.9655963960064796E-06,2.2066075801849365,1.2088291645050049,0.94136548042297363,0.79003673791885376,0.76625841856002808,-4.2360310554504395,0,0,0,0,0,-9.2573575973510742,0.021971940994262695,49.511409759521484,28.688955307006836,2.0748412609100342,30.955587387084961,21.270109176635742,0.92978650331497192,0.55720055103302002,18.351682662963867,0.00034175210748799145,1.5244255065917969,1.386508584022522,0
17,85.723981908168639,27.817508634680088,26.839673975257099,5.6251556619725615E-06,19.838671212550253,-3.8844620026787172E-06,1.1446069478988647,1.1669951677322388,1.4348448514938354,0.78276330232620239,0.91287940740585327,-7.0677590370178223,0,0,0,0,1,-10.23540210723877,0.026326453313231468,48.729019165039062,29.358278274536133,3.3275408744812012,28.8209228515625,23.078287124633789,0.91421931982040405,0.51877659559249878,18.405675888061523,0.00034181808587163687,1.5244255065917969,0.50366318225860596,0
18,88.947001178506767,32.565100880242646,29.342300058100374,5.7036183834279856E-06,19.8386729940027,-3.7946653873658591E-06,-0.36781978607177734,1.3242758512496948,0.97651195526123047,1.0611555576324463,1.0113592147827148,-6.0485343933105469,0,0,0,0,0,-11.896379470825195,0.04196818545460701,51.250095367431641,29.794044494628906,3.836012601852417,25.975013732910156,22.97004508972168,0.88197594881057739,0.46755024790763855,18.489147186279297,0.00034142853110097349,1.5244255065917969,0.378834068775177,0
19,93.677942967377604,37.759822247560443,33.029024333171691,5.556876014269014E-06,19.838668428044766,-4.0248189167255138E-06,-1.9114727973937988,1.3501052856445312,0.94498550891876221,0.98045653104782104,1.2061358690261841,-8.6297569274902344,0,0,0,0,0,-12.013948440551758,0.049069583415985107,54.943798065185547,30.238519668579102,4.4539923667907715,24.354175567626953,23.432504653930664,0.85611224174499512,0.43837514519691467,18.544181823730469,0.00033931131474673748,1.5244253873825073,0.65604233741760254,0
20,95.396066260095679,28.671730770772921,26.953722247675469,5.4705067069231676E-06,19.838666087482125,-4.1427982674954043E-06,-2.1009306907653809,1.1350480318069458,1.100659966468811,0.99480241537094116,1.3246381282806396,-3.4626357555389404,0,0,0,0,0,-11.193197250366211,0.042517229914665222,56.150470733642578,31.138221740722656,3.9611167907714844,25.631284713745117,23.832080841064453,0.86720645427703857,0.46136307716369629,18.510095596313477,0.00033538811840116978,1.5244253873825073,1.118025541305542,0
21,97.741072544399643,32.514386477030712,30.169519696707503,5.4005449278083822E-06,19.838662961870433,-4.3003491194582034E-06,-1.3172907829284668,1.2071110010147095,1.326136589050293,1.0040994882583618,0.97927337884902954,-0.6469876766204834,0,0,0,0,0,-12.791318893432617,0.0379897840321064,57.114646911621094,33.301982879638672,3.4008848667144775,28.120040893554688,23.489274978637695,0.89229798316955566,0.50616073608398438,18.440204620361328,0.0003308186715003103,1.5244253873825073,0.5950237512588501,0
