year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
35,83.892083343882121,19.390778210408097,19.485844730492826,8.1043460409655682E-06,19.838588322792202,-5.5432971954124593E-06,-9.9867143630981445,0.028756264597177505,50.42913818359375,27.332633972167969,1.8150179386138916,28.198156356811523,21.992443084716797,0.72997164726257324,0.50756680965423584,18.601049423217773,0.00032115838257595897,1.5244252681732178,0.46888980269432068,0
36,83.811696643792089,19.429629599277106,19.510234821479973,8.1816340350744987E-06,19.838586832098663,-5.5485792925439141E-06,-9.9871845245361328,0.029266813769936562,50.390228271484375,27.26416015625,1.8423928022384644,28.168317794799805,21.965927124023438,0.72756385803222656,0.50702965259552002,18.603992462158203,0.00032113090856000781,1.5244252681732178,0.4719080924987793,0
37,83.706288243206217,19.345684059508638,19.451308216379402,8.2526504570414783E-06,19.838583263717592,-5.6585899979041089E-06,-9.9876747131347656,0.029024511575698853,50.349113464355469,27.200590133666992,1.8416359424591064,28.147428512573242,21.946287155151367,0.72522139549255371,0.50665366649627686,18.606708526611328,0.00032064598053693771,1.5244251489639282,0.46590769290924072,0
38,83.612697041761123,19.397532507486758,19.491341923070141,8.3227963601815129E-06,19.83857556445524,-5.9768198492596796E-06,-9.9880104064941406,0.029146343469619751,50.314224243164062,27.141010284423828,1.8421880006790161,28.127225875854492,21.928791046142578,0.72288936376571655,0.5062900185585022,18.609395980834961,0.00032017164630815387,1.5244251489639282,0.4653075635433197,0
39,83.538947474425655,19.365665070193064,19.439624351604142,8.3800265985970714E-06,19.83855917479843,-6.733096054153259E-06,-9.9883928298950195,0.0291773471981287,50.278297424316406,27.085117340087891,1.8606522083282471,28.104824066162109,21.907947540283203,0.72062861919403076,0.50588679313659668,18.612043380737305,0.00031962915090844035,1.5244251489639282,0.47304350137710571,0
40,83.476470687678088,19.457113725259841,19.519806869524619,8.4414700658300827E-06,19.838541525490584,-7.5528651210128513E-06,-9.9889030456542969,0.028673233464360237,50.243144989013672,27.031951904296875,1.8856419324874878,28.089189529418945,21.893465042114258,0.71839660406112671,0.50560539960861206,18.614540100097656,0.00031954553560353816,1.5244251489639282,0.47169122099876404,0
41,83.382107723699889,19.332883417070114,19.427469079745933,8.5085584421575193E-06,19.838530404306947,-8.0435784638562858E-06,-9.9892997741699219,0.028598202392458916,50.210216522216797,26.981025695800781,1.8751518726348877,28.065414428710938,21.874580383300781,0.71623140573501587,0.50517743825912476,18.617120742797852,0.00031925100483931601,1.5244251489639282,0.47383585572242737,0
42,83.313285484304657,19.420139654687517,19.489181778595956,8.5688539863972838E-06,19.838524778205901,-8.2573080071322664E-06,-9.9896202087402344,0.028991047292947769,50.178058624267578,26.930950164794922,1.888822078704834,28.053874969482422,21.861478805541992,0.71412444114685059,0.50496971607208252,18.619430541992188,0.00031905787182040513,1.5244251489639282,0.47296848893165588,0
43,83.263462226986888,19.405741524196056,19.455784826654998,8.6269274665858807E-06,19.838523445036262,-8.2546497388542322E-06,-9.9899091720581055,0.028495416045188904,50.156475067138672,26.880979537963867,1.9102734327316284,28.033199310302734,21.841682434082031,0.71207916736602783,0.50459754467010498,18.621847152709961,0.00031906776712276042,1.5244251489639282,0.46591025590896606,0
44,83.211549214664842,19.391996663450119,19.444129246700321,8.6822407045156228E-06,19.838528393581509,-7.9353564397961639E-06,-9.9903888702392578,0.028427530080080032,50.131893157958984,26.834201812744141,1.9298866987228394,28.021392822265625,21.830511093139648,0.71011579036712646,0.50438505411148071,18.624027252197266,0.00031900018802843988,1.5244250297546387,0.47198864817619324,0
45,83.1458471675124,19.372776321851706,19.438697785583209,8.7353437845736222E-06,19.838532315772028,-7.6677978589868571E-06,-9.9907026290893555,0.028629092499613762,50.110160827636719,26.792200088500977,1.9238479137420654,28.010677337646484,21.818080902099609,0.70817285776138306,0.50419217348098755,18.626167297363281,0.00031883254996500909,1.5244250297546387,0.47260606288909912,0
46,83.047843691539015,19.287854759180917,19.38607268826847,8.7820687635946328E-06,19.838536678031087,-7.3780569617239148E-06,-9.9909534454345703,0.02829737588763237,50.082004547119141,26.750307083129883,1.8880146741867065,28.003076553344727,21.810676574707031,0.70628112554550171,0.50405538082122803,18.628200531005859,0.00031878968002274632,1.5244250297546387,0.46976703405380249,0
47,82.91874941672198,19.36580440470323,19.495117169223814,8.830334834381518E-06,19.838539401572199,-7.1709170249555389E-06,-9.9908275604248047,0.028890416026115417,50.062191009521484,26.709566116333008,1.8200033903121948,27.994964599609375,21.800596237182617,0.70437771081924438,0.50390934944152832,18.630252838134766,0.00031865778146311641,1.5244250297546387,0.47159668803215027,0
48,82.814290853738783,19.343971568750131,19.448642741793883,8.8712118582389822E-06,19.838543471023442,-6.8959364378374346E-06,-9.9910116195678711,0.028719775378704071,50.041553497314453,26.669961929321289,1.7852993011474609,27.979032516479492,21.786895751953125,0.702534019947052,0.50362253189086914,18.632387161254883,0.00031861223396845162,1.5244250297546387,0.46671268343925476,0
49,82.756133634373541,19.417108673070032,19.475471464449654,8.9031904824747719E-06,19.838544906415045,-6.7537273629677743E-06,-9.9913005828857422,0.028285220265388489,50.022331237792969,26.632781982421875,1.7881953716278076,27.975637435913086,21.781644821166992,0.70073050260543823,0.50356143712997437,18.634252548217773,0.00031869753729552031,1.5244250297546387,0.46805030107498169,0
50,82.691221799058837,19.326599001782888,19.391732359510499,8.9497910177779872E-06,19.838548508640379,-6.5022979143970097E-06,-9.9913425445556641,0.028329538181424141,50.006217956542969,26.596408843994141,1.7761560678482056,27.967206954956055,21.7742919921875,0.69898897409439087,0.50340968370437622,18.636150360107422,0.00031876916182227433,1.5244250297546387,0.47622129321098328,0
51,82.666437518075114,19.42956923010788,19.454559391198128,8.9793927885780285E-06,19.838548803441228,-6.417580438052847E-06,-9.9915275573730469,0.028575586155056953,49.988811492919922,26.563556671142578,1.8000444173812866,27.955680847167969,21.763982772827148,0.69726294279098511,0.50320225954055786,18.638084411621094,0.00031875984859652817,1.5244249105453491,0.47311285138130188,0
52,82.640999266551802,19.4188220148081,19.444461070939287,9.0034231743747346E-06,19.838551523070784,-6.2106386021137594E-06,-9.9917430877685547,0.028657728806138039,49.972824096679688,26.532001495361328,1.8215391635894775,27.950305938720703,21.755182266235352,0.69555443525314331,0.50310546159744263,18.639890670776367,0.00031880461028777063,1.5244249105453491,0.4731757640838623,0
53,82.592327150953935,19.372787402942048,19.421670700998657,9.036261552302404E-06,19.838552637696267,-6.0845975729425904E-06,-9.9919986724853516,0.028466736897826195,49.956008911132812,26.502567291259766,1.818958044052124,27.949729919433594,21.752077102661133,0.69389837980270386,0.50309509038925171,18.641559600830078,0.00031880283495411277,1.5244249105453491,0.4724973738193512,0
